Organization,abstract,address,bidders,categories,closing_date,competitionNumber,linkTo,status,title
,,,,,,,,,
"Duffley, Brenda","#Doc1630064576 - Request for Tender for Permanent repairs to Utility Cuts on arterial, collector and local roads within Ward 5 (Etobicoke York District) #19EY-102TU. 
 
 
LINK TO PUBLIC POSTING ARIBA DISCOVERY: 
	 
 
 
IMPORTANT NOTICE – Transition to City's new Source-to-pay tool – SAP Ariba 
 
As of September, 2018, the City of Toronto will launch an online Source-to-Pay tool utilizing SAP Ariba and begin to migrate the City's Solicitations (RFQs, RFPs etc.) from being posted on the City's Online Call Document System to being posted through SAP Ariba. It is important for all Suppliers to register on the SAP Ariba network in order to continue to be able to access City of Toronto Solicitations. For more information on this transition please visit: Upcoming Changes to Bidding on City Contracts. 
 
Any questions about this transition should be directed to City Bids at: citybids@toronto.ca  
 
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Road - Curb - Sidewalk","February 26, 2019",Notice3-2019,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/2E27D206D3A065788525839100766418/$file/NOIP 3-2019  19EY-102TU.pdf,***,"Request for Tender for Permanent repairs to Utility Cuts on arterial, collector and local roads within Ward 5 "
,,,,,,,,,
"Kysym, Christina","#Doc1628285358- Request for Tender for Permanent repairs to Utility Cuts on arterial, collector and local roads within Ward 1, 2, and 3 (Etobicoke York District) #19EY-101TU. 
 
 
LINK TO PUBLIC POSTING ARIBA DISCOVERY: 
		   
 
 
IMPORTANT NOTICE – Transition to City's new Source-to-pay tool – SAP Ariba 
 
As of September, 2018, the City of Toronto will launch an online Source-to-Pay tool utilizing SAP Ariba and begin to migrate the City's Solicitations (RFQs, RFPs etc.) from being posted on the City's Online Call Document System to being posted through SAP Ariba. It is important for all Suppliers to register on the SAP Ariba network in order to continue to be able to access City of Toronto Solicitations. For more information on this transition please visit: Upcoming Changes to Bidding on City Contracts. 
 
Any questions about this transition should be directed to City Bids at: citybids@toronto.ca  
 
 
 
 
 
","City Hall, 19th Floor, West Tower",,"Construction Services, Road - Curb - Sidewalk","February 20, 2019",Notice2-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/14AE0B77C84FE0CF85258391006EA5A6/$file/2-2019  19EY-101TU  Website posting info_.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/14AE0B77C84FE0CF85258391006EA5A6/$file/NOIP-2-2019.pdf",***,"Request for Tender for Permanent repairs to Utility Cuts on arterial, collector and local roads within Ward 1, 2, and 3 "
,,,,,,,,,
"Suits, Martin","Security / Bid Deposit: 
 
Every Bidder shall submit with their Bid a Bid Bond in the amount of 10% of the Bid amount and will agree to provide a Performance Bond and a Labour and Material Bond for the due and proper performance of the Work, each in the amount of 50% of the Contract amount including an extended 24 month warranty period. The Bonds will be issued by a licensed surety company authorized to transact business in the Province of Ontario and shall be maintained in good standing until the fulfilment of the Contract. 
 
NOTE: 
 
This call document is only available for purchase and download through the City of Toronto's Online Call Document System: 
 . 
  
A non-refundable fee (shown above), is required for each call document.  
 
DRAWINGS AND SPECIFICATIONS 
 
The Tender Specifications and Drawings are available on CD to the bidders who have purchased the tender document. Bidders may pick up a copy of the CD from the Purchasing and Materials Management Division offices, 19th floor, West Tower, 100 Queen Street West during regular business hours (8.30 a.m. to 4.30 p.m.).  
 
Proof of Tender purchase will be required to pick-up the CD. The bidders who have not purchased the Tender document will have to do so before being given a copy of the CD 
 
Scope of Work	Summary: 
 
The following is a summary for the reference of bidders. 
Please note that full specifications and drawings are provided in a separate CD package accompanying this tender document. 
 
The scope of work involved in this Tender shall consist of the supply and installation of all materials as detailed on the project drawings and specifications; including all labour, materials, tools, equipment, overhead, profit, coordination, warranty, etc. necessary for the completion of the work. No equipment, labour, materials, tools, etc. or storage facilities shall be provided by the City unless noted otherwise on the project drawings. 
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Mechanical Services","March 1, 2019",298-2018,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/A1F24E61C224109485258386006B9541/$file/298-2018 - NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/A1F24E61C224109485258386006B9541/$file/298-2018 Viewing Copy Only.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/A1F24E61C224109485258386006B9541/$file/298-2018 - Addendum No.1.pdf",***,Blower Building Rehabilitation and Upgrades at Ashbridges Bay Treatment Plant (TAB).
,,,,,,,,,
"Dares, Kasia","See viewing copy
 
 
 
 
","City Hall, 17th Floor West Tower",,"Construction Services, Mechanical Services","March 8, 2019",4305-19-0073,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/4F95F310078E87878525839900544A32/$file/Notice of Intended Procurement 4305-19-0073.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/4F95F310078E87878525839900544A32/$file/4305-19-0073 Viewing Copy.pdf",***,Maintenance of BAS at Enercare Centre
,,,,,,,,,
"Suits, Martin","Security / Bid Deposit: 
 
Every Bidder shall submit with their Bid a Bid Bond in the amount of 10% of the Bid amount and will agree to provide a Performance Bond and a Labour and Material Bond for the due and proper performance of the Work, each in the amount of 50% of the Contract amount including an extended 24 month warranty period. The Bonds will be issued by a licensed surety company authorized to transact business in the Province of Ontario and shall be maintained in good standing until the fulfilment of the Contract. 
 
NOTE: 
 
This call document is only available for purchase and download through the City of Toronto's Online Call Document System: 
 . 
  
A non-refundable fee (shown above), is required for each call document.  
 
DRAWINGS AND SPECIFICATIONS 
 
The Tender Specifications and Drawings are available on CD to the bidders who have purchased the tender document. Bidders may pick up a copy of the CD from the Purchasing and Materials Management Division offices, 19th floor, West Tower, 100 Queen Street West during regular business hours (8.30 a.m. to 4.30 p.m.).  
 
Proof of Tender purchase will be required to pick-up the CD. The bidders who have not purchased the Tender document will have to do so before being given a copy of the CD 
 
Scope of Work: 
 
Summary 
The following is a summary for the reference of bidders. 
 
Please note that full specifications and drawings are provided in a separate CD package accompanying this tender document. 
 
The scope of work involved in this Tender shall consist of the supply and installation of all materials as detailed on the project drawings and specifications; including all labour, materials, tools, equipment, overhead, profit, coordination, warranty, etc. necessary for the completion of the work. No equipment, labour, materials, tools, etc. or storage facilities shall be provided by the City unless noted otherwise on the project drawings.  
 
Mandatory Submission Requirements: 
 
Experience and Qualifications 
 
For Prequalified General Contractors Only from 3907-18-7149 
 
1.    Alberici Contractors Ltd. 
2.    Aquicon Construction Co. Ltd. 
3.   Steelcore Construction 
4.   Torbear Contracting Inc.
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Mechanical Services","March 1, 2019",297-2018,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/437455CAF63460D78525839400510791/$file/297-2018 - NOIP notice_intended_procurement.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/437455CAF63460D78525839400510791/$file/297-2018 Viewing Copy Only.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/437455CAF63460D78525839400510791/$file/297-2018 - Addendum No.1.pdf",***,Operations Control Centre Rehabilitation and Upgrade at Humber Treatment Plant (THR)
,,,,,,,,,
"D'Souza, Sunney","Viewing Copy - For more information on this call, please click on the viewing copy attachment in the Notes section above.
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Mechanical Services","February 21, 2019",4305-19-5008,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/EB7E0C2FB866032785258399007411DF/$file/4305-19-5008 - Viewing Copy.pdf,***,the selection of  Mechanical Contractors
,,,,,,,,,
"Buensuceso, Renato","Security Deposit: 
Certified cheque, bank draft, money order or Letter of Credit, made payable to City of Toronto, Treasurer, in the amount of $5,000.00. 
 
Scope of Work: 
The Contractor will be responsible for providing all the necessary resources to carry out, but not limited to, the following activities related to this project: 
 
Minor building repairs shall include, but not limited to dry wall, plastering, sheet floor repair / replacement, epoxy flooring repair / replacement , floor tile repair / replacement, wall tile repair / replacement, ceiling tile replacement, masonry, painting, and minor carpentry works and repairs, on an “as required basis” for the period of a one (1) year, with options to renew for a further 4 additional one (1) year periods, as directed by the Manager of Capital & Facilities Services, Long-Term Care Homes and Services.  All work must be carried out expediently and within a safe working environment. 
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Facilities renovations","March 4, 2019",3907-19-5010,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9D7970CFAF414084852583A200601D50/$file/3907-19-5010 NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9D7970CFAF414084852583A200601D50/$file/3907-19-5010 Viewing Copy Only.pdf",***,Minor Building Repairs
,,,,,,,,,
"Lee, Rachel","Contract No.: 19ECS-LU-02SU 
 
Bid Bond Amount: 7% of Total Bid Price 
 
 
NOTE: Drawings are provided in a CD format and CD is available to pick up at the Purchasing & Materials Management Division Tender Office, located on the 19th Floor, West Tower, City Hall, 100 Queen Street West, Toronto ON. There is no additional cost for the CD. Please provide your online proof of purchase 
 
Scope of Work: 
 
Watermain and water services replacement and road rehabilitation on Burnhamill Place, Clarion Road, Lloyd Manor Road, Silverthorne Bush Drive, and West Deane Park Drive. 
 
2.	Project Location and Ward Number 
 
Street	Ward #	Ward Name 
Burnhamill Place	2	Etobicoke Centre 
Clarion Road	        1	Etobicoke North 
Lloyd Manor Road	2	Etobicoke Centre 
Silverthorne Bush Drive	2	Etobicoke Centre 
Fourthgreen Place	2	Etobicoke Centre 
West Deane Park Drive	2	Etobicoke Centre 
 
 
3.	Project Description 
Street	Limits	Work Type	Length (m)	Pipe Size (mm) 
Burnhamill Place	From Old Burnhamthorpe Road 
to Mill Road	Watermain Replacement and Road Reconstruction 	470	150 
Clarion Road	From Redgrave Drive 
to Waterbury Drive	Watermain Replacement 	550	150 
Lloyd Manor Road	From Firwood Crescent 
to Beaverbrook Avenue	Watermain Replacement 	535	150 
Silverthorne Bush Drive	From Markland Drive 
to Markland Drive	Watermain Replacement and Full Depth Asphalt Replacement	700	150 
Fourthgreen Place	From Markland Drive 
to Northwest Limit	Watermain Replacement and Full Depth Asphalt Replacement	45	150 
West Deane Park Drive	From Rabbit Lane 
to Sedgebrook Crescent	Watermain Replacement 	500	150/300 
 
4.	Completion Date 
 
This Contract, including all site restorations, clean up, and rectification of all known deficiencies, must be completed within 120 Working Days from the date of commencement of the Work indicated in the Order to Commence Work which will be issued following the execution of the agreement for this Contract on or before April, 2019. 
 
For more information on this call, please refer to the viewing copy attachment in the Notes section above.
 
 
 
 
","City Hall, 19th Floor, West Tower",,"Construction Services, Construction Services","March 15, 2019",30-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/018F2A7F1F82013B8525839700717568/$file/30-2019 - NOIP Summary.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/018F2A7F1F82013B8525839700717568/$file/30-2019 - NOIP .pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/018F2A7F1F82013B8525839700717568/$file/30-2019 - Viewing Copy.pdf",***,Watermain and water services replacement and road rehabilitation
,,,,,,,,,
"Parker, Max","Scope of Work  
 
1.1.	1.1.1.	The following is a general description of the scope of work to complete the natural gas generator installation.  For a detailed description of the technical aspects of the work, refer to the specification sections and contract drawings. 
1.1.2.	Notify and co-ordinate with Owner, Consultant, and Occupants, whenever work will effect operation of the building. 
1.1.3.	Contractor to ensure there will be no obstruction to the fire route and must coordinate any obstructions of the bay doors with the station captain during the construction work. Onsite parking for the contractor may be limited. If required, contractor may be asked to park off site at no additional cost to the contract. 
1.1.4.	Contractor to coordinate with the city and the fire station captain regarding access during proposed works. Contractor must call into Toronto Fire Service security daily on days the contractor wishes to work onsite to be granted access. Any issues with coordination of site access will not result in additional costs to the contract. 
1.1.5.	Contractor to repair any disturbed or damaged waterproofing during installation. 
1.1.6.	Contractor to locate all underground and above ground utilities and structures within vicinity of proposed works (exterior and interior) to minimize disruption during proposed works. 
1.1.7.	Once the Contract has been awarded, construction shall be carried out in one continuing operation, unless agreed to and approved by the City and Consultant at the time of such request. 
1.1.8.	The Contractor and his/her Sub-Contractors shall assume full responsibility for their equipment and all materials required for this project and shall store them in a locked secure area at the end of each days work. No equipment or materials shall be left in an open area unprotected at the end of each days work. 
1.1.9.	It is the Contractor’s total responsibility for the overall performance and completion of the Work. Breakdown of Work by trades is for the convenience of the Contractor only. All trades are required to examine all Sections of the Drawings and Specifications. The Consultants assume no responsibility for the division of Work or for any jurisdictional involvement as a result of such divisions. 
1.1.10.	Work specified in the specification has been divided into technical sections for the purpose of ready reference. Division of work among subcontractors and suppliers is solely the contractor’s responsibility and the Contract Administrator assumes no responsibility to act as an arbitrator to establish subcontract limits between sections or divisions of work. 
1.1.11.	Prior to Tender submission examine the sites and surrounding areas and be fully informed as to the conditions and limitations under which the work has to be executed. Additional costs will not be entertained with respect to conditions which could reasonably have been ascertained by an inspection of the site prior to tender closing. 
1.1.12.	During the Contract duration, the Contractor is responsible to correct immediately, any interruption to essential services caused by his/her work whether they occur during the day or night, (business days or weekend and/or holidays). The maximum response time of two (2) hours is required. Other types of interruptions shall be corrected within 24 (twenty four) hours. Failure to respond within the specified time period shall render the Contractor responsible for payment of all changes incurred by the Owner when a third party has to be called to perform the necessary work. 
1.1.13.	Contractor to provide a 2 year full parts and labor warranty on all workmanship and equipment. 
1.1.14.	Contractor shall engage Enbridge within five business days of issuance of a Purchase Order for the natural gas station/regulator upgrades.  Project delays due to inadequate/delayed coordination with Enbridge will not be accepted.  Contractor to pay Enbridge directly for the natural gas station/regulator upgrades. Direct costs for the Enbridge upgrades will be taken from the cash allowance. 
1.1.15.	All coordination costs (Enbridge, ESA, THES, TFS, EMS, etc…) is to be included in the base bid. No coordination costs or markup will be accepted as contract extras. 
1.2.	Interpretation of Drawings and Specifications 
1.2.1.	In the event of any inconsistency or conflict in the contents of the documents, the drawings shall take precedence. 
1.2.2.	Dimensions on drawings when witnessed by lines and arrow points, shall take precedence over measurements by scale. 
1.2.3.	Larger scale drawings shall take precedence over those of smaller scale. Supplementary drawings and specifications supersede previous drawings and specifications. 
1.2.4.	Words, phrases and abbreviations that have a well-known technical or trade meaning shall have that meaning in these specifications and drawings. 
1.2.5.	In case of discrepancy between the drawings and specifications, figure dimensions on the drawings shall govern, except where the dimension depends on the dimension of a specified product in which case the dimensions of the product shall govern. 
1.2.6.	All cases of discrepancy shall be referred to the Consultant who shall make decisions in writing.  The decisions shall be consistent with the evident meaning and intention of the drawings and specifications and the above paragraphs. 
1.2.7.	The location of undimensioned fixtures, outlets, conduits, piping, etc., is shown approximate.  The Contractor shall confirm actual location(s) to suit job conditions as approved by the Consultant. 
1.2.8.	Dimensions provided on Contract Drawings and Schedules are approximate. Contractor is to verify dimensions. 
1.3.	Scope of work 
This work shall include, but not necessarily be limited to the short summary below: 
1.3.1.	Labour, material and equipment to complete work of Contract in conformity with Contract Documents and Construction Schedule. 
1.3.2.	Permits, inspections, tests, and systems verifications. Demolition, relocation, and removal of existing equipment and services to complete Work. 
1.3.3.	Delivery, receiving, inspection at time of delivery, unloading, and hoisting of materials and equipment. 
1.3.4.	Clean-up of materials and garbage on daily basis or as directed, and removal of unused equipment/materials from site. 
1.3.5.	The contractor shall install a new natural gas standby generator equipped as per the latest approved CSA standard C282 ""Emergency Electrical Power Supply for Buildings"" (battery warmer, enclosure heater, enclosure lighting, enclosure panelboard, etc…).  The electrical scope of work includes the installation of the standby generator, associated power and control equipment, and the reconnection of the existing building loads to the new generator as shown in the drawing package. 
1.3.6.	Building temporary power is not anticipated to be required by the contractor during the time of reconnection from existing power distribution system to new power distribution system (less than 4 hour outage). Contractor must provide city PM 10 business day advance notice of any power outages so that temporary power can be arranged at an additional cost if the fire chief deems it necessary to maintain operation at the fire station during the time of reconnection. 
1.3.7.	Disconnect, remove and/or relocate all existing services and/or equipment and reconnect where necessary. 
1.3.8.	All disturbed areas are to be restored to match existing conditions or better. 
1.3.9.	The contractor shall build new generator pad including bollards and/or fenced enclosure as specified in the contract drawings complete with restoration of landscaping and surrounding areas. 
1.3.10.	The contractor shall provide and install all equipment indicated in the contract drawings. The contractor shall set up and commission all systems and provide ready to operate power distribution and standby power system capable to operate under all applicable standards and regulatory requirements. The generator equipment includes but is not limited to the following: 
•	New automatic transfer switch; 
•	New natural gas powered generator c/w weatherproof sound rated enclosure. The initial start-up of the Gas Generator to be performed by the Generator Manufacturer; 
•	New monitoring and protection systems for generator operation including remote generator annunciator in captain's office; 
•	Equipment supplier to provide coordination study for new equipment complete with appropriate device settings. Contractor to coordinate with equipment supplier and is responsible for all field verifications required to complete the coordination study; 
1.3.11.	The contractor shall supply and install updated lamacoid labels and updated panel schedules for all existing/new electrical equipment within the electrical room / area of work. 
1.3.12.	Electrical contractor to provide power and controls as required by mechanical trade. 
1.3.13.	The contractor shall provide and install complete natural gas piping system for generator from Enbridge modified gas station.  The contractor shall pay for and coordinate the installation of the Enbridge modified gas station directly with Enbridge to ensure minimal disruption to the facility. 
1.3.14.	The contractor shall supply and install fire stopping materials and penetration seals to maintain the required fire-resistance rating of existing/new walls and structures. 
1.3.15.	The contractor shall supply and install new windows and doors which have a minimum 45 minute fire rating in all unprotected openings in the building around the generator as outlined in the contract documents if the generator is installed within 3 meters from the building. 
 
Please see document for more details
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Electrical services","March 8, 2019",72-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/3DF95DE6B20DCD17852583A1006B57BF/$file/72-2019 - Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/3DF95DE6B20DCD17852583A1006B57BF/$file/Tender 72-2019 NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/3DF95DE6B20DCD17852583A1006B57BF/$file/72-2019 - Web Attachment.zip",***,Installation of New Standby Gas Generators
,,,,,,,,,
"Breaugh, Meghan","Viewing copy - For more information on this call, please click on the viewing copy attachment in the Notes section above.  
 
Drawings are to be picked up at the City Hall Tender Office, located at 100 Queen Street West, 19th Floor, West Tower, Toronto, ON M5H 2N2. 
 
Supply and Installation of Accessible Pedestrian Signals- Etobicoke/ Toronto/East York/ Scarborough. 
Project Location and District 
1	College Street and Elizabeth Street (PX1351) – Toronto / East York 
2	Spadina Avenue and Harbord Street (PX0280) - Toronto / East York 
3  	Spadina Avenue and Nassau Street (PX0278) - Toronto / East York 
4	Sherbourne Street and Carlton Street (PX0260) – Toronto / East York 
5	The Queensway and Colbourne Lodge Drive (PX0560) – Etobicoke 
6	The Queensway and Windermere Avenue (PX0562) – Etobicoke 
7   	Midland Avenue and Progress Avenue (PX0691) - Scarborough 
 
The Contractor shall be responsible for the installation of all required underground duct, handwells, ground plates, pole bases, poles, and controller base. The Contractor is also responsible for the installation of all above ground traffic signal plant, APS units and pavement markings.  
 
The Contractor shall also be responsible for the installation of concrete sidewalks, pedestrian ramps and other civil improvements related to the installation of the Accessible Pedestrian Signals. 
Access to Toronto Hydro chambers and/or other confined spaces may be required as part of this work at some locations. The contractor must produce valid proof of certification from Toronto Hydro to the City of Toronto prior to awarding of contract. 
This Contract, including all site restorations, clean up, and rectification of all known deficiencies, must be completed by October31, 2019. 
 
On a location basis, all site restorations, clean-up and the rectification of any and all deficiencies are to be completed 90 days after the activation.
 
 
 
 
","City Hall, 19th Floor, West Tower",,"Construction Services, Electrical services","February 25, 2019",57-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E1BF8B7602E9874F8525839B006E9CE1/$file/57-2019 - NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E1BF8B7602E9874F8525839B006E9CE1/$file/57_2019 - Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/E1BF8B7602E9874F8525839B006E9CE1/$file/57-2019 - Addendum No. 1.pdf",***,Supply and Installation of Accessible Pedestrian Signals
,,,,,,,,,
"Suits, Martin","Summary: 
 
The following is a summary for the reference of bidders. 
 
For Prequalified General Contractors Only from 3907-18-7149 
 
1.	Alberici Contractors Ltd. 
 
2.    Aquicon Construction Co. Ltd. 
 
3.   Steelcore Construction 
 
4.   Torbear Contracting Inc. 
 
Please note that full Scope of Work specifications and drawings are provided in a separate CD package accompanying this tender document. 
 
The scope of work involved in this Tender shall consist of the supply and installation of all materials as detailed on the project drawings and specifications; including all labour, materials, tools, equipment, overhead, profit, coordination, warranty, etc. necessary for the completion of the work. No equipment, labour, materials, tools, etc. or storage facilities shall be provided by the City unless noted otherwise on the project drawings. 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Mechanical Services","March 1, 2019",Notice297-2018,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/3784622BE6834D47852583890055EBCD/$file/297-2018 - NOIP notice_intended_procurement.pdf,***,Operations Control Centre Rehabilitation and Upgrade at Humber Treatment Plant (THR)
,,,,,,,,,
"Diptee, Justin","Security / Bid Deposit: 
 
Every Bidder shall submit with their Bid a Bid Bond in the amount of 10% of the Bid amount and will agree to provide a Performance Bond and a Labour and Material Bond for the due and proper performance of the Work, each in the amount of 50% of the Contract amount including an extended 24 month warranty period.  
 
The Bonds will be issued by a licensed surety company authorized to transact business in the Province of Ontario and shall be maintained in good standing until the fulfilment of the Contract. 
 
NOTE: This call document is available for Online purchase. 
 
Scope of Work: 
 
Summary 
 
The Scope of Work involves the roof replacement and related accessories as specified in the Tender document. 
  
Mandatory Submission Requirements: 
 
Experience and Qualifications 
1.	Must have been in the business as a roofing contractor, continuously since 2005, with annual value construction work for the last five years of no less than $5,000.000.00 per year.   
 
2.	The Bidder must provide completed CCDC 11 – Contractor's Qualification Statement form for the purpose of confirming the Bidder's qualification, experience and track record. 
 
3.	As a Roofing Contractor: 
 
a.	Must be an active member in a good standing record with Ontario Industrial Roofing Contractors Association OIRCA). Letter of verification by ORICA must be submitted upon request. 
 
b.	Must have completed and achieved substantial completion (including testing and commissioning), of a minimum of TWO (2) Projects involving construction of roof replacement for the large-scale Public or Governmental facilities having a minimum dollar value of $600,000 Canadian Dollars each (excluding taxes) within the past TEN (10) years. At least one of these projects must have involved staged/phased construction activities. 
 
c.	Must have completed and achieved substantial completion (including testing and commissioning), of at least ONE (1) Project involving replacement of 2 ply modified bitumen application on a sloped roof over the long span structure facilities with a minimum value of $400,000 Canadian dollars each (excluding taxes) within the past FIVE (5) years.
 
 
 
 
",City Hall 19th Floor West Tower,,"Construction Services, Construction Services","March 6, 2019",26-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/DDECA266261C8E928525839A004DEE55/$file/26-2019 NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/DDECA266261C8E928525839A004DEE55/$file/26-2019 Viewing Copy Only.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/DDECA266261C8E928525839A004DEE55/$file/26-2019 - Addendum No. 1.pdf",***,Roof Replacement and Repair at East York Curling Club
,,,,,,,,,
"Kysym, Christina","BID BOND:  10% of Bid Amount 
CONTRACT NO.  19ECS-TI-18MR 
 
NOTE: 
This call document is available for purchase and download online on our website. 
A non-refundable fee (shown above) in the form of Credit card, Debit card, cash or cheque payable to the Treasurer, City of Toronto, is required for each call document. 
 
Drawings:   
 
Tender Drawings are available on CD to purchasers of the tender document.  Bidders must obtain a copy of the CD from the Tender Office of the Purchasing and Materials Management Division, 19th Floor, West Tower, City Hall, 100 Queen Street West, Toronto, during regular business hours (8:30 a.m. to 4:30 p.m.).  
Proof of Tender purchase will be required to pick-up the CD.  The vendors who have not purchased the Tender document will have to do so in order to obtain a copy of the CD.  
 
 
SCOPE OF WORK: 
•	The East Mall from North Queen Street to 23 m South of Vickers Road - Major Road Reconstruction; The East Mall from 23 m South of Vickers Road to Yarn Road - Major Road Resurfacing; North Queen Street from Vansco Road to Kipling Avenue - Major Road Resurfacing; and North Queen Street from Eastside Drive to The East Mall - New Sidewalk Construction 
•	Major road reconstruction, major road resurfacing, and new sidewalk construction 
 
Completion Date 
The tentative construction commencement date is June 3, 2019 
 
This Contract, including all site restorations, clean up, and rectification of all known defects, must be completed by no later than 84 calendar days from the actual construction commence date. 
 
MANDATORY EXPERIENCE AND QUALIFICATIONS: 
 
The Bidder must have the following experience in order to be considered for award: 
 
•	Must have completed (including testing and commissioning), and must have achieved Substantial Completion within the meaning of the Construction Act for at least two (2) projects within the past ten (10) years as General Contractor involving the construction of new or upgraded road having a minimum dollar value of $5,000,000.00 Canadian Dollars each (excluding taxes). At least one of these projects must have involved staged/phased construction activities.  
•	Certificate of Recognition (COR™) Requirement
 
 
 
 
","City Hall, 19th Floor, West Tower",,"Construction Services, Construction Services","February 28, 2019",25-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/14AC9A07E0E94566852583A000670F88/$file/25-2019 - Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/14AC9A07E0E94566852583A000670F88/$file/25-2019 - NOIP .pdf",***,Major Road Reconstruction
,,,,,,,,,
"Sumesh, John","Contract No.: 19ECS-TI-06MR 
 
Bid Bond Amount: 10% of amount of bid. 
 
NOTE: Drawings are provided in a CD format and CD is available to pick up at the Purchasing & Materials Management Division Tender Office, located on the 19th Floor, West Tower, City Hall, 100 Queen Street West, Toronto ON. There is no additional cost for the CD. Please provide your online proof of purchase 
 
Scope of Work:  
 
1.	Project Title 
 
Dundas Street West from McMurray Avenue to Annette Street – Major Road Resurfacing; and 
McMurray Avenue from Dundas Street West to 77 m North of Vine Avenue – Local Road Reconstruction and Substandard Water Service Upgrades 
 
2.	Project Location and Ward Number 
 
Ward 4 Parkdale-High Park 
 
3.	Project Description 
 
Major road resurfacing, local road reconstruction, and substandard water service upgrades 
 
4.	Completion Date 
 
The tentative construction commencement date is July 2, 2019. 
 
This Contract, including all site restorations, clean up, and rectification of all known defects, must be completed by no later than August 25, 2019. 
 
For more information on this call, please refer to the viewing copy attachment in the Notes section above.
 
 
 
 
","City Hall, 19th Floor, West Tower",,"Construction Services, Construction Services","February 19, 2019",20-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/38360B6B358BA8D685258391005B3044/$file/Tender 20-2019-Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/38360B6B358BA8D685258391005B3044/$file/Addendum 1 - Tender 20-2019.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/38360B6B358BA8D685258391005B3044/$file/Addendum 2 - Tender 20-2019.pdf",***,Dundas Street West from McMurray Avenue to Annette Street - Major Road Resurfacing
,,,,,,,,,
